,img_id,img_path,num_user,mean,median,var,vote1,vote2,vote3,vote4,vote5
360,356,PILOT/GSV_PILOT_421_4.jpg,5,2.4,2,0.24,0,3,2,0,0
361,357,PILOT/GSV_PILOT_422_1.jpg,5,1.8,2,0.56,2,2,1,0,0
362,358,PILOT/GSV_PILOT_422_2.jpg,5,1.6,2,0.24,2,3,0,0,0
363,359,PILOT/GSV_PILOT_422_3.jpg,5,2.4,2,0.24,0,3,2,0,0
364,360,PILOT/GSV_PILOT_422_4.jpg,5,2.8,3,0.5599999999999999,0,2,2,1,0
365,361,PILOT/GSV_PILOT_425_1.jpg,5,2.4,2,0.24,0,3,2,0,0
366,362,PILOT/GSV_PILOT_425_2.jpg,5,2.8,3,0.15999999999999998,0,1,4,0,0
367,363,PILOT/GSV_PILOT_425_3.jpg,5,2.6,3,0.24,0,2,3,0,0
368,364,PILOT/GSV_PILOT_425_4.jpg,5,2.8,3,0.15999999999999998,0,1,4,0,0
369,365,PILOT/GSV_PILOT_426_1.jpg,5,4.2,4,0.15999999999999998,0,0,0,4,1
370,366,PILOT/GSV_PILOT_426_2.jpg,5,3.8,4,0.15999999999999998,0,0,1,4,0
371,367,PILOT/GSV_PILOT_426_3.jpg,5,3.0,3,1.2,1,0,2,2,0
372,368,PILOT/GSV_PILOT_426_4.jpg,5,4.0,4,0.4,0,0,1,3,1
373,369,PILOT/GSV_PILOT_427_1.jpg,5,3.4,4,0.64,0,1,1,3,0
374,370,PILOT/GSV_PILOT_427_2.jpg,5,3.2,3,0.5599999999999999,0,1,2,2,0
375,371,PILOT/GSV_PILOT_427_3.jpg,5,2.6,3,0.24,0,2,3,0,0
376,372,PILOT/GSV_PILOT_427_4.jpg,5,3.0,3,0.8,0,2,1,2,0
377,373,PILOT/GSV_PILOT_428_1.jpg,5,2.2,2,0.5599999999999999,1,2,2,0,0
378,374,PILOT/GSV_PILOT_428_2.jpg,5,1.2,1,0.16,4,1,0,0,0
379,375,PILOT/GSV_PILOT_428_3.jpg,5,1.4,1,0.24,3,2,0,0,0
380,376,PILOT/GSV_PILOT_428_4.jpg,5,2.4,2,0.24,0,3,2,0,0
381,377,PILOT/GSV_PILOT_429_1.jpg,5,1.8,2,0.56,2,2,1,0,0
382,378,PILOT/GSV_PILOT_429_2.jpg,5,1.8,2,0.16000000000000006,1,4,0,0,0
383,379,PILOT/GSV_PILOT_429_3.jpg,5,1.8,2,0.56,2,2,1,0,0
384,380,PILOT/GSV_PILOT_429_4.jpg,5,2.0,2,0.4,1,3,1,0,0
385,381,PILOT/GSV_PILOT_430_1.jpg,5,2.0,2,0.4,1,3,1,0,0
386,382,PILOT/GSV_PILOT_430_2.jpg,5,1.6,2,0.24,2,3,0,0,0
387,383,PILOT/GSV_PILOT_430_3.jpg,5,1.8,2,0.16,1,4,0,0,0
388,384,PILOT/GSV_PILOT_430_4.jpg,5,1.8,2,0.16000000000000006,1,4,0,0,0
