,loc_id,var1,var2,var3,var4,var_loc,lab1,lab2,lab3,lab4,lab_loc
128,508,0.64,1.4400000000000002,0.64,1.0400000000000005,0.6400000000000002,2,2,2,2,2
129,511,0.64,0.96,0.64,1.6,0.64,4,4,4,4,4
130,512,0.5599999999999999,0.5599999999999999,1.36,0.15999999999999998,0.5599999999999999,3,3,3,3,3
131,514,0.5599999999999999,0.5599999999999999,2.0,0.15999999999999998,0.5599999999999999,2,4,3,4,4
132,515,1.36,0.24,1.36,0.16000000000000006,0.4,3,1,3,2,2
133,516,0.96,1.04,1.0400000000000005,0.4,0.4,2,3,3,4,4
134,517,1.2,0.6400000000000002,0.8,1.0400000000000005,0.8,3,4,3,3,3
135,520,0.8,1.6,0.0,0.64,0.4,3,4,4,4,4
136,523,0.16,0.96,0.24,0.0,0.5599999999999999,2,2,2,2,2
137,527,0.5599999999999999,0.8,0.64,1.04,0.56,2,2,2,2,2
138,529,0.24000000000000005,0.64,0.4,0.24000000000000005,0.24,4,3,4,4,5
139,530,1.4400000000000002,0.15999999999999998,0.96,1.44,0.64,4,2,2,2,2
140,533,0.24,0.64,1.36,0.5599999999999999,0.8,2,2,4,3,3
