,img_id,num_user,attractiveness,familiarity,uniqueness,friendliness,pleasure,arousal,dominance
342,338,5,3,0,3,1,0.0933333333333333,-0.7978832644376267,0.06055555555555562
343,339,5,3,1,3,1,0.28444444444444444,-0.9338174845680248,0.10055555555555555
344,340,5,3,1,2,1,0.15111111111111117,-0.9818659995143253,0.1716666666666667
345,341,5,3,0,2,1,0.33333333333333337,-0.9658397089702341,-0.03277777777777775
346,342,5,2,0,2,1,-0.2444444444444444,-0.5821992715861372,-0.014999999999999958
347,343,5,2,0,2,0,-0.03555555555555558,-0.8824907740897932,0.14500000000000002
348,344,5,2,1,2,0,-0.06666666666666664,-0.6921490232705759,0.33611111111111114
349,345,5,2,0,3,0,-0.15999999999999998,-0.7409469842346225,0.06944444444444439
350,346,5,3,0,2,1,0.36888888888888893,-0.6577514207609999,0.20277777777777778
351,347,5,2,0,3,0,-0.17333333333333334,-0.18830580297657412,-0.09500000000000006
352,348,5,2,0,2,1,-0.03999999999999996,-0.9656254747339871,0.13611111111111113
353,349,5,2,0,2,1,-0.008888888888888929,-0.7773072562439253,-0.04611111111111117
354,350,5,3,0,2,1,0.27111111111111114,-0.9377426362807302,0.26055555555555554
355,351,5,3,1,2,1,0.08444444444444443,-0.9624641566791178,0.12277777777777776
356,352,5,3,1,2,1,0.3466666666666668,-0.7205396094498868,0.024999999999999953
357,353,5,3,0,3,1,0.17333333333333337,-0.8819002624851319,0.4027777777777778
358,354,5,2,0,3,0,-0.11999999999999997,-0.2824614338402102,0.047222222222222235
359,355,5,3,0,2,1,0.07555555555555563,-0.7286461467493529,0.05166666666666662
360,356,5,2,0,3,0,-0.2266666666666667,-0.8380393732485725,-0.050555555555555576
361,357,5,2,0,2,0,-0.36,-0.590229945810157,0.26055555555555554
362,358,5,2,0,2,0,-0.43555555555555553,-0.7801491696002525,0.38055555555555565
363,359,5,2,1,2,1,-0.10222222222222221,-0.9507173295589508,-0.03722222222222221
364,360,5,3,1,2,1,0.2177777777777778,-0.9427217418931662,0.22944444444444442
365,361,5,2,1,2,1,0.3155555555555556,-0.9265200167216587,0.3405555555555556
366,362,5,3,1,2,1,0.3022222222222223,-0.9295241807595769,0.2605555555555556
367,363,5,3,1,2,1,0.1866666666666667,-0.8768461504810781,0.23833333333333334
