id,user_id,part,loc_id,img_id,attractiveness,familiarity,uniqueness,friendliness,pleasure,arousal,dominance,golden_answer,start_time,end_time
750,14,1,,126,5,yes,4,yes,0.5000000000000001,-0.7737161681026151,0.5805555555555556,,2017-03-27 11:20:50.000000,2017-03-27 11:21:54.000000
751,16,1,,102,4,yes,4,yes,0.6777777777777778,-0.4533839730821905,0.5805555555555556,,2017-03-27 11:21:09.000000,2017-03-27 11:22:06.000000
752,14,1,,88,4,yes,3,yes,0.6777777777777778,-0.4533839730821905,0.625,,2017-03-27 11:21:16.000000,2017-03-27 11:22:21.000000
753,16,1,,124,4,yes,4,yes,0.8111111111111112,0.26843125986394867,0.6027777777777779,,2017-03-27 11:21:28.000000,2017-03-27 11:22:22.000000
754,15,1,,117,4,yes,3,yes,0.5555555555555555,-0.823549793585745,0.31388888888888894,,2017-03-27 11:21:00.000000,2017-03-27 11:22:23.000000
755,14,1,,157,4,no,4,yes,0.8333333333333334,0.3875883744082167,-0.7305555555555556,,2017-03-27 11:21:44.000000,2017-03-27 11:22:37.000000
756,16,1,,117,4,yes,3,yes,0.7888888888888889,0.14308829157062597,0.6472222222222224,,2017-03-27 11:21:43.000000,2017-03-27 11:22:40.000000
757,15,1,,84,5,no,4,yes,0.8888888888888891,0.6423496619925195,0.5805555555555556,,2017-03-27 11:21:45.000000,2017-03-27 11:22:43.000000
758,16,1,,120,3,yes,1,yes,0.7000000000000002,-0.34894641036798524,0.6916666666666668,,2017-03-27 11:22:02.000000,2017-03-27 11:23:00.000000
759,14,1,,152,3,yes,3,yes,0.6555555555555557,-0.5463140317088938,0.31388888888888894,,2017-03-27 11:21:59.000000,2017-03-27 11:23:03.000000
760,16,1,,114,3,yes,3,yes,0.2777777777777779,-0.9865891536893029,0.31388888888888894,,2017-03-27 11:22:22.000000,2017-03-27 11:23:17.000000
761,14,1,,121,4,no,3,yes,0.5888888888888888,-0.7545322520279426,0.44722222222222224,,2017-03-27 11:22:26.000000,2017-03-27 11:23:27.000000
762,16,1,,123,4,yes,4,yes,0.8555555555555555,0.49777770092715357,0.8472222222222223,,2017-03-27 11:22:38.000000,2017-03-27 11:23:35.000000
763,15,1,,110,3,no,3,yes,0.17777777777777773,-0.7194273621424856,0.6027777777777779,,2017-03-27 11:22:06.000000,2017-03-27 11:23:48.000000
764,16,1,,100,4,yes,3,yes,0.7000000000000002,0.6531916700460627,0.8916666666666667,,2017-03-27 11:22:57.000000,2017-03-27 11:23:51.000000
765,14,1,,82,3,no,3,yes,0.6333333333333333,-0.6272363443046449,-0.04166666666666663,,2017-03-27 11:22:49.000000,2017-03-27 11:23:55.000000
766,16,1,,144,3,yes,2,yes,0.12222222222222229,-0.7737161681026151,0.5805555555555556,,2017-03-27 11:23:13.000000,2017-03-27 11:24:05.000000
767,15,1,,145,4,no,4,yes,0.7555555555555556,-0.04887286747496844,0.49166666666666675,,2017-03-27 11:23:10.000000,2017-03-27 11:24:07.000000
768,14,1,,83,4,yes,3,yes,0.5444444444444446,-0.8423258860356001,0.38055555555555554,,2017-03-27 11:23:18.000000,2017-03-27 11:24:15.000000
769,16,0,,10003,2,yes,1,yes,0.09999999999999992,-0.9894828714581883,0.2916666666666667,a100,2017-03-27 11:23:27.000000,2017-03-27 11:24:34.000000
770,14,1,,155,4,yes,4,yes,0.7222222222222223,-0.23438947444255687,0.625,,2017-03-27 11:23:37.000000,2017-03-27 11:24:39.000000
771,15,0,,10001,5,no,4,yes,0.9777777777777779,0.9007702065774681,0.31388888888888894,a111,2017-03-27 11:23:30.000000,2017-03-27 11:24:50.000000
772,16,1,,127,3,yes,3,yes,0.5666666666666667,0.09518041858453596,0.7805555555555556,,2017-03-27 11:23:56.000000,2017-03-27 11:24:50.000000
773,14,1,,100,3,no,4,yes,0.6777777777777778,-0.4533839730821905,0.22500000000000006,,2017-03-27 11:24:02.000000,2017-03-27 11:25:07.000000
774,16,1,,155,2,no,4,yes,0.011111111111111184,-0.9430793674021183,0.44722222222222224,,2017-03-27 11:24:12.000000,2017-03-27 11:25:11.000000
775,15,1,,157,4,no,4,yes,0.8888888888888891,0.6423496619925195,0.09166666666666672,,2017-03-27 11:24:13.000000,2017-03-27 11:25:18.000000
776,16,1,,153,3,no,3,yes,0.1888888888888889,-0.9894828714581883,0.2916666666666667,,2017-03-27 11:24:33.000000,2017-03-27 11:25:37.000000
777,15,1,,141,4,yes,3,yes,0.6444444444444445,-0.5882763853401332,0.38055555555555554,,2017-03-27 11:24:40.000000,2017-03-27 11:25:41.000000
778,14,0,,10002,3,yes,3,yes,0.7222222222222223,-0.23438947444255687,-0.08611111111111112,a001,2017-03-27 11:24:30.000000,2017-03-27 11:25:45.000000
779,16,1,,133,1,no,2,no,-0.32222222222222224,-0.985310725573479,-0.24166666666666672,,2017-03-27 11:24:59.000000,2017-03-27 11:25:57.000000
780,16,1,,95,3,yes,3,yes,0.033333333333333305,-0.9865891536893029,0.31388888888888894,,2017-03-27 11:25:19.000000,2017-03-27 11:26:11.000000
781,14,1,,101,3,no,3,no,-0.07777777777777779,-0.9985055496130376,0.11388888888888883,,2017-03-27 11:25:08.000000,2017-03-27 11:26:14.000000
782,15,1,,119,4,no,3,yes,0.7111111111111111,-0.29280933420867683,0.2916666666666667,,2017-03-27 11:25:03.000000,2017-03-27 11:26:18.000000
783,16,1,,137,2,no,3,yes,0.033333333333333305,-0.9952349412869108,-0.21944444444444436,,2017-03-27 11:25:33.000000,2017-03-27 11:26:28.000000
784,14,1,,153,4,yes,3,yes,0.7222222222222223,-0.23438947444255687,0.713888888888889,,2017-03-27 11:25:36.000000,2017-03-27 11:26:40.000000
785,15,1,,124,4,no,4,yes,0.8888888888888891,0.6423496619925195,0.5805555555555556,,2017-03-27 11:25:41.000000,2017-03-27 11:26:42.000000
786,16,1,,104,4,yes,3,yes,0.7222222222222223,-0.23438947444255687,0.6472222222222224,,2017-03-27 11:25:50.000000,2017-03-27 11:26:45.000000
787,14,1,,136,2,yes,2,no,-0.32222222222222224,-0.985310725573479,-0.04166666666666663,,2017-03-27 11:26:03.000000,2017-03-27 11:26:59.000000
788,15,1,,147,4,no,4,yes,0.8222222222222222,0.32897597368471687,0.6694444444444445,,2017-03-27 11:26:04.000000,2017-03-27 11:27:02.000000
789,16,1,,122,4,yes,4,yes,0.5444444444444446,0.5612093322254987,0.8694444444444446,,2017-03-27 11:26:07.000000,2017-03-27 11:27:02.000000
790,14,1,,134,2,yes,3,no,-0.47777777777777786,-0.921193232078781,0.02499999999999998,,2017-03-27 11:26:22.000000,2017-03-27 11:27:17.000000
791,16,1,,115,3,no,3,yes,0.1888888888888889,-0.9935372506500277,0.24722222222222218,,2017-03-27 11:26:24.000000,2017-03-27 11:27:20.000000
792,14,1,,118,4,yes,3,yes,0.8333333333333334,0.3875883744082167,0.5583333333333333,,2017-03-27 11:26:40.000000,2017-03-27 11:27:33.000000
793,16,1,,157,2,no,2,no,0.07777777777777779,-0.9975643861939557,0.15833333333333333,,2017-03-27 11:26:43.000000,2017-03-27 11:27:38.000000
794,15,1,,89,2,no,3,no,-0.15555555555555559,-0.9970749873963014,-0.1750000000000001,,2017-03-27 11:26:25.000000,2017-03-27 11:27:38.000000
795,16,1,,147,2,no,4,yes,0.12222222222222229,-0.9647203736704834,0.4027777777777778,,2017-03-27 11:27:00.000000,2017-03-27 11:27:56.000000
796,14,1,,158,5,yes,4,yes,0.8777777777777779,0.597100816594732,0.8027777777777778,,2017-03-27 11:26:56.000000,2017-03-27 11:28:00.000000
797,16,1,,111,3,no,5,yes,0.5666666666666667,-0.8027648583595306,0.38055555555555554,,2017-03-27 11:27:17.000000,2017-03-27 11:28:15.000000
798,14,1,,119,4,yes,3,yes,0.7888888888888889,0.14308829157062597,0.713888888888889,,2017-03-27 11:27:22.000000,2017-03-27 11:28:18.000000
799,15,1,,112,3,yes,3,yes,0.022222222222222122,-0.9829057624523566,0.33611111111111114,,2017-03-27 11:27:01.000000,2017-03-27 11:28:18.000000
800,14,1,,140,4,yes,3,yes,0.5666666666666667,-0.8027648583595306,0.4027777777777778,,2017-03-27 11:27:40.000000,2017-03-27 11:28:31.000000
801,16,1,,88,2,yes,1,yes,0.033333333333333305,-0.9993244957050436,-0.04166666666666663,,2017-03-27 11:27:37.000000,2017-03-27 11:28:36.000000
802,15,1,,135,4,no,4,yes,0.688888888888889,-0.40253883290642956,0.5138888888888888,,2017-03-27 11:27:41.000000,2017-03-27 11:28:56.000000
803,16,1,,152,1,no,4,no,-0.011111111111111061,-0.5982964844519537,-0.6416666666666666,,2017-03-27 11:27:58.000000,2017-03-27 11:28:58.000000
804,14,1,,92,2,yes,2,no,0.033333333333333305,-0.9985055496130376,0.11388888888888883,,2017-03-27 11:27:53.000000,2017-03-27 11:29:09.000000
805,16,1,,158,5,no,5,yes,0.8333333333333334,0.3875883744082167,0.713888888888889,,2017-03-27 11:28:20.000000,2017-03-27 11:29:14.000000
806,15,1,,131,3,no,3,yes,0.2000000000000001,-0.9722701052067964,0.38055555555555554,,2017-03-27 11:28:18.000000,2017-03-27 11:29:26.000000
807,16,1,,116,2,yes,2,no,0.16666666666666677,-0.9463675180371736,-0.4416666666666668,,2017-03-27 11:28:36.000000,2017-03-27 11:29:33.000000
808,14,1,,147,2,yes,3,yes,0.5888888888888888,-0.7545322520279426,-0.01944444444444451,,2017-03-27 11:28:31.000000,2017-03-27 11:29:34.000000
809,16,1,,160,4,yes,4,yes,0.5666666666666667,-0.8027648583595306,0.44722222222222224,,2017-03-27 11:28:54.000000,2017-03-27 11:29:51.000000
810,14,1,,122,4,yes,3,yes,0.7000000000000002,-0.34894641036798524,0.2027777777777778,,2017-03-27 11:28:56.000000,2017-03-27 11:29:55.000000
811,15,1,,115,4,yes,4,yes,0.8666666666666667,0.5488794051240125,0.24722222222222218,,2017-03-27 11:28:49.000000,2017-03-27 11:29:57.000000
812,16,1,,90,1,no,1,no,0.09999999999999992,-0.8913393834741545,-0.5083333333333334,,2017-03-27 11:29:13.000000,2017-03-27 11:30:10.000000
813,14,1,,97,2,yes,3,no,0.6777777777777778,-0.4533839730821905,0.3583333333333334,,2017-03-27 11:29:17.000000,2017-03-27 11:30:13.000000
814,16,1,,98,4,yes,2,yes,0.8111111111111112,0.26843125986394867,0.6027777777777779,,2017-03-27 11:29:32.000000,2017-03-27 11:30:29.000000
815,14,1,,81,3,yes,3,yes,0.6333333333333333,-0.6272363443046449,-0.10833333333333324,,2017-03-27 11:29:35.000000,2017-03-27 11:30:32.000000
816,16,1,,156,2,no,2,yes,0.011111111111111184,-0.9839113672385734,-0.3305555555555557,,2017-03-27 11:29:50.000000,2017-03-27 11:30:43.000000
817,15,0,,10002,3,no,4,yes,0.2000000000000001,-0.9278588476306058,0.4694444444444445,a001,2017-03-27 11:29:20.000000,2017-03-27 11:30:44.000000
818,14,1,,160,4,yes,4,yes,0.8333333333333334,0.3875883744082167,-0.48611111111111105,,2017-03-27 11:29:54.000000,2017-03-27 11:30:49.000000
819,16,0,,10004,5,yes,4,yes,0.7444444444444445,0.4576486365550212,0.8472222222222223,a110,2017-03-27 11:30:05.000000,2017-03-27 11:31:04.000000
820,14,1,,151,4,yes,3,yes,0.6333333333333333,-0.6272363443046449,0.4694444444444445,,2017-03-27 11:30:12.000000,2017-03-27 11:31:06.000000
821,14,1,,144,3,yes,3,yes,0.4111111111111111,-0.9613958095293081,0.2027777777777778,,2017-03-27 11:30:28.000000,2017-03-27 11:31:20.000000
822,16,1,,119,3,yes,3,yes,0.4111111111111111,-0.6545154279172174,0.625,,2017-03-27 11:30:26.000000,2017-03-27 11:31:25.000000
823,15,1,,111,4,no,4,no,0.08888888888888898,-0.8185480928880686,0.5583333333333333,,2017-03-27 11:30:06.000000,2017-03-27 11:31:29.000000
824,16,1,,108,5,yes,4,yes,0.7000000000000002,0.4576486365550212,0.8472222222222223,,2017-03-27 11:30:47.000000,2017-03-27 11:31:41.000000
825,14,1,,96,3,yes,3,yes,0.5444444444444446,-0.8423258860356001,0.4027777777777778,,2017-03-27 11:30:43.000000,2017-03-27 11:31:49.000000
826,15,1,,142,4,yes,2,yes,0.5777777777777778,-0.7798118266519196,0.3583333333333334,,2017-03-27 11:30:52.000000,2017-03-27 11:31:51.000000
827,16,1,,109,2,no,5,no,0.011111111111111184,-0.5128635538321694,-0.663888888888889,,2017-03-27 11:31:03.000000,2017-03-27 11:32:02.000000
828,14,1,,95,3,yes,3,no,-0.10000000000000005,-0.9987171533451877,0.002777777777777735,,2017-03-27 11:31:11.000000,2017-03-27 11:32:12.000000
829,16,1,,126,4,yes,2,yes,0.7444444444444445,0.3438238031492422,0.8250000000000001,,2017-03-27 11:31:24.000000,2017-03-27 11:32:13.000000
830,15,1,,86,2,no,2,no,-0.4222222222222223,-0.9564810695199486,0.002777777777777735,,2017-03-27 11:31:13.000000,2017-03-27 11:32:27.000000
831,16,1,,85,3,yes,4,yes,0.3444444444444445,-0.8185480928880686,0.5583333333333333,,2017-03-27 11:31:35.000000,2017-03-27 11:32:28.000000
832,16,1,,86,3,yes,1,no,0.011111111111111184,-0.9993244957050436,-0.04166666666666663,,2017-03-27 11:31:50.000000,2017-03-27 11:32:43.000000
833,15,1,,127,4,yes,4,yes,0.4444444444444444,-0.9447472369440276,0.42500000000000004,,2017-03-27 11:31:49.000000,2017-03-27 11:32:44.000000
834,14,1,,110,3,yes,3,no,0.033333333333333305,-0.9865891536893029,0.31388888888888894,,2017-03-27 11:31:35.000000,2017-03-27 11:32:54.000000
835,16,1,,93,1,no,2,no,-0.07777777777777779,-0.9939192614118728,-0.24166666666666672,,2017-03-27 11:32:05.000000,2017-03-27 11:33:02.000000
836,14,1,,113,4,yes,3,yes,0.8555555555555555,0.49777770092715357,-0.3972222222222223,,2017-03-27 11:32:17.000000,2017-03-27 11:33:12.000000
837,15,1,,103,3,yes,2,yes,0,-0.9917546662452431,0.26944444444444443,,2017-03-27 11:32:06.000000,2017-03-27 11:33:16.000000
838,16,1,,113,3,yes,4,yes,0.3,-0.8551842916662291,0.5361111111111111,,2017-03-27 11:32:24.000000,2017-03-27 11:33:21.000000
839,16,1,,154,2,no,4,yes,0.5222222222222223,-0.8744753160933014,0.33611111111111114,,2017-03-27 11:32:43.000000,2017-03-27 11:33:41.000000
840,14,0,,10004,4,yes,3,yes,0.6111111111111112,-0.6545154279172174,0.625,a110,2017-03-27 11:32:34.000000,2017-03-27 11:33:42.000000
841,14,1,,128,3,yes,3,yes,0.6333333333333333,-0.6272363443046449,0.5805555555555556,,2017-03-27 11:33:04.000000,2017-03-27 11:33:58.000000
842,15,1,,87,3,no,3,no,-0.2666666666666667,-0.992001851769611,-0.08611111111111112,,2017-03-27 11:32:39.000000,2017-03-27 11:34:00.000000
843,14,1,,154,3,yes,3,yes,0.7000000000000002,-0.34894641036798524,0.6472222222222224,,2017-03-27 11:33:20.000000,2017-03-27 11:34:08.000000
844,16,1,,121,3,no,3,no,0.09999999999999992,-0.9987171533451877,-0.063888888888889,,2017-03-27 11:33:03.000000,2017-03-27 11:34:12.000000
845,15,1,,88,3,no,4,yes,0.2000000000000001,-0.9647203736704834,0.4027777777777778,,2017-03-27 11:33:23.000000,2017-03-27 11:34:27.000000
846,14,1,,111,3,yes,3,yes,0.388888888888889,-0.9087501520570657,0.49166666666666675,,2017-03-27 11:33:30.000000,2017-03-27 11:34:28.000000
847,16,1,,131,1,yes,1,no,0.1888888888888889,-0.9463675180371736,-0.4416666666666668,,2017-03-27 11:33:34.000000,2017-03-27 11:34:29.000000
848,14,1,,143,3,yes,3,yes,0.5222222222222223,-0.8744753160933014,0.24722222222222218,,2017-03-27 11:33:50.000000,2017-03-27 11:34:41.000000
849,16,1,,81,4,yes,3,yes,0.7888888888888889,0.14308829157062597,0.44722222222222224,,2017-03-27 11:33:51.000000,2017-03-27 11:34:46.000000
