,attractiveness,familiarity,uniqueness,friendliness,pleasure,arousal,dominance
attractiveness,1.0,-0.033002202132382086,0.5717652907988192,0.51972760248285,0.6871897277318699,0.3812949093074159,0.358034049044384
familiarity,-0.033002202132382086,1.0,-0.23023812859816703,0.07529733358072961,-0.010557587642446544,0.036844069558828844,0.0748324994123088
uniqueness,0.5717652907988192,-0.23023812859816703,1.0,0.2184613039865269,0.42552324073684755,0.30035917145284785,0.19178153729757835
friendliness,0.51972760248285,0.07529733358072961,0.2184613039865269,1.0,0.5753242029780248,0.15761247469651854,0.33957502369766085
pleasure,0.6871897277318699,-0.010557587642446544,0.42552324073684755,0.5753242029780248,1.0,0.3269827955232271,0.3021362318940464
arousal,0.3812949093074159,0.036844069558828844,0.30035917145284785,0.15761247469651854,0.3269827955232271,1.0,0.19880548161300488
dominance,0.358034049044384,0.0748324994123088,0.19178153729757835,0.33957502369766085,0.3021362318940464,0.19880548161300488,1.0
