id,loc_id,filepath,heading,,
307,343,PILOT/GSV_PILOT_343_3.jpg,25,,
308,343,PILOT/GSV_PILOT_343_4.jpg,115,,
309,344,PILOT/GSV_PILOT_344_1.jpg,37,,
310,344,PILOT/GSV_PILOT_344_2.jpg,127,,
311,344,PILOT/GSV_PILOT_344_3.jpg,217,,
312,344,PILOT/GSV_PILOT_344_4.jpg,307,,
313,345,PILOT/GSV_PILOT_345_1.jpg,86,,
314,345,PILOT/GSV_PILOT_345_2.jpg,176,,
315,345,PILOT/GSV_PILOT_345_3.jpg,266,,
316,345,PILOT/GSV_PILOT_345_4.jpg,356,,
317,346,PILOT/GSV_PILOT_346_1.jpg,115,,
318,346,PILOT/GSV_PILOT_346_2.jpg,205,,
319,346,PILOT/GSV_PILOT_346_3.jpg,295,,
320,346,PILOT/GSV_PILOT_346_4.jpg,25,,
