,img_id,rank,scene,score
144,29,5,'playground',0.000685641891323
145,30,1,'driveway',0.454036027193
146,30,2,'forest_road',0.169098570943
147,30,3,'highway',0.0643782317638
148,30,4,'tree_farm',0.0336634889245
149,30,5,'botanical_garden',0.0256652329117
150,31,1,'picnic_area',0.717582583427
151,31,2,'pavilion',0.0697494894266
152,31,3,'forest_road',0.0308296009898
153,31,4,'forest_path',0.0242875441909
154,31,5,'botanical_garden',0.0210877973586
155,32,1,'forest_road',0.329430490732
156,32,2,'driveway',0.170758843422
157,32,3,'picnic_area',0.0841120705009
158,32,4,'forest_path',0.0683183521032
159,32,5,'highway',0.0644637197256
160,33,1,'parking_lot',0.863226234913
161,33,2,'highway',0.079925686121
162,33,3,'residential_neighborhood',0.0161648225039
163,33,4,'crosswalk',0.0146282166243
164,33,5,'driveway',0.00496028317139
165,34,1,'residential_neighborhood',0.324994057417
166,34,2,'apartment_building',0.271964877844
167,34,3,'fire_escape',0.105804495513
168,34,4,'motel',0.0816372185946
169,34,5,'parking_lot',0.0304433442652
170,35,1,'residential_neighborhood',0.35731497407
171,35,2,'apartment_building',0.204231530428
172,35,3,'alley',0.109121136367
173,35,4,'hotel',0.0456217229366
174,35,5,'inn',0.0449294373393
175,36,1,'parking_lot',0.810529649258
176,36,2,'driveway',0.0472352318466
177,36,3,'highway',0.0190399270505
178,36,4,'boat_deck',0.0140726137906
179,36,5,'gas_station',0.0120665347204
180,37,1,'yard',0.389007657766
181,37,2,'courtyard',0.176793083549
182,37,3,'driveway',0.155110493302
183,37,4,'formal_garden',0.0638872310519
184,37,5,'cottage_garden',0.0394108109176
185,38,1,'highway',0.464098125696
186,38,2,'river',0.179134577513
187,38,3,'bayou',0.118926897645
188,38,4,'bridge',0.0438651889563
189,38,5,'dam',0.0315930582583
190,39,1,'highway',0.246669590473
191,39,2,'river',0.183381482959
192,39,3,'parking_lot',0.096475854516
193,39,4,'forest_road',0.0946010053158
194,39,5,'driveway',0.0518402121961
195,40,1,'campsite',0.35850045085
196,40,2,'chalet',0.19261136651
197,40,3,'yard',0.0842494145036
198,40,4,'forest_road',0.0581841245294
199,40,5,'residential_neighborhood',0.0510647781193
200,41,1,'hospital',0.301027834415
201,41,2,'apartment_building',0.206098407507
202,41,3,'office_building',0.135090470314
203,41,4,'residential_neighborhood',0.103639900684
204,41,5,'motel',0.060754019767
205,42,1,'parking_lot',0.225084483624
206,42,2,'office_building',0.192926645279
207,42,3,'hospital',0.153592303395
208,42,4,'residential_neighborhood',0.0995082259178
209,42,5,'apartment_building',0.0897526443005
210,43,1,'office_building',0.283647239208
211,43,2,'hospital',0.13450832665
212,43,3,'apartment_building',0.0959215760231
213,43,4,'building_facade',0.0843437239528
214,43,5,'construction_site',0.0534030385315
215,44,1,'office_building',0.401225328445
216,44,2,'hospital',0.168732583523
217,44,3,'apartment_building',0.118851922452
218,44,4,'parking_lot',0.0789486020803
219,44,5,'construction_site',0.0496403425932
220,45,1,'motel',0.616985917091
221,45,2,'apartment_building',0.0818864479661
222,45,3,'inn',0.0668975114822
223,45,4,'hospital',0.0624233447015
224,45,5,'parking_lot',0.0380210243165
225,46,1,'highway',0.368911683559
226,46,2,'residential_neighborhood',0.32194852829
227,46,3,'crosswalk',0.0506949871778
228,46,4,'forest_road',0.0503419861197
229,46,5,'parking_lot',0.0289622973651
230,47,1,'residential_neighborhood',0.41391992569
231,47,2,'driveway',0.171702772379
232,47,3,'motel',0.0828651785851
233,47,4,'inn',0.0459527187049
234,47,5,'mansion',0.0389774404466
235,48,1,'residential_neighborhood',0.289539635181
236,48,2,'highway',0.215597808361
237,48,3,'driveway',0.0856951102614
238,48,4,'parking_lot',0.057075701654
239,48,5,'crosswalk',0.0297911949456
240,49,1,'motel',0.252657085657
241,49,2,'parking_lot',0.203285366297
242,49,3,'fire_station',0.0797969922423
243,49,4,'alley',0.0755414068699
244,49,5,'hospital',0.0642297938466
