id,user_id,part,loc_id,img_id,attractiveness,familiarity,uniqueness,friendliness,pleasure,arousal,dominance,golden_answer,start_time,end_time
301,10,1,,62,5,no,4,yes,0.8407402886284724,0.4254253406681505,0.45463053385416674,,2017-03-16 15:28:25.000000,2017-03-16 16:29:18.000000
302,8,1,,50,3,no,3,yes,0.06666666666666661,-0.9829057624523566,0.33611111111111114,,2017-03-16 16:29:53.000000,2017-03-16 16:29:27.000000
303,7,1,,30,3,no,3,yes,0.6155558268229168,-0.6834667055902519,0.32277832031250003,,2017-03-16 16:28:29.000000,2017-03-16 16:29:28.000000
304,9,1,,65,1,yes,1,no,-0.870370822482639,0.5652809135132555,-0.18981458875868065,,2017-03-16 16:28:21.000000,2017-03-16 16:29:36.000000
305,10,1,,21,5,no,4,yes,0.6629625108506944,-0.5166656367676037,0.3657416449652778,,2017-03-16 15:28:49.000000,2017-03-16 16:29:41.000000
306,9,1,,10,1,yes,1,no,-0.870370822482639,0.5652809135132555,0.47685139973958335,,2017-03-16 16:29:05.000000,2017-03-16 16:29:57.000000
307,8,1,,48,3,yes,4,yes,0.6666666666666666,-0.5013381404778048,0.3583333333333334,,2017-03-16 16:30:38.000000,2017-03-16 16:30:06.000000
308,7,1,,79,4,yes,4,yes,1,1,1,,2017-03-16 16:28:58.000000,2017-03-16 16:30:08.000000
309,10,0,,10004,4,no,4,yes,0.7074069552951389,-0.31179177382696965,0.2324083116319444,a110,2017-03-16 15:29:12.000000,2017-03-16 16:30:22.000000
310,8,1,,12,2,no,2,no,0,-0.9901034022080508,-0.2861111111111112,,2017-03-16 16:31:18.000000,2017-03-16 16:30:26.000000
311,9,0,,10002,1,yes,1,no,-0.8259263780381945,0.34874764911590095,-0.01203681098090268,a001,2017-03-16 16:29:25.000000,2017-03-16 16:30:34.000000
312,10,1,,73,2,yes,2,yes,-0.13703748914930558,-0.9980725714447027,0.05463053385416669,,2017-03-16 15:29:53.000000,2017-03-16 16:30:44.000000
313,7,0,,10002,2,yes,1,yes,-0.0066663953993055585,-0.9983521537200375,0.12277832031249997,a001,2017-03-16 16:29:38.000000,2017-03-16 16:30:54.000000
314,10,1,,15,2,yes,2,yes,-0.3148152669270834,-0.9864526824892917,-0.12314724392361115,,2017-03-16 15:30:15.000000,2017-03-16 16:31:02.000000
315,8,0,,10005,4,yes,4,yes,0.688888888888889,-0.40253883290642956,0.44722222222222224,a010,2017-03-16 16:31:37.000000,2017-03-16 16:31:16.000000
316,9,1,,18,4,no,3,yes,1,0.9953688782252366,0.4990749782986111,,2017-03-16 16:30:03.000000,2017-03-16 16:31:22.000000
317,10,1,,70,1,yes,1,yes,-0.4037041558159723,-0.9643651623625202,-0.03425835503472217,,2017-03-16 15:30:32.000000,2017-03-16 16:31:29.000000
318,9,1,,70,1,yes,1,no,-0.6925930447048613,-0.38496900247405397,0.03240763346354169,,2017-03-16 16:30:51.000000,2017-03-16 16:31:51.000000
319,10,1,,26,2,yes,2,yes,-0.5814819335937501,-0.771650528408632,-0.2564805772569444,,2017-03-16 15:31:00.000000,2017-03-16 16:31:54.000000
320,7,1,,58,3,yes,2,yes,-0.0066663953993055585,-0.9973145094468197,0.16722276475694445,,2017-03-16 16:30:24.000000,2017-03-16 16:32:03.000000
321,10,1,,52,1,yes,1,yes,-0.44814860026041664,-0.9013665679606073,0.4990749782986111,,2017-03-16 15:31:24.000000,2017-03-16 16:32:14.000000
322,8,1,,11,2,yes,1,no,-0.7333333333333335,-0.17400564782724315,-0.7305555555555556,,2017-03-16 16:32:28.000000,2017-03-16 16:32:20.000000
323,7,1,,26,2,yes,1,yes,-0.0066663953993055585,-0.9978963028824751,0.14500054253472222,,2017-03-16 16:31:32.000000,2017-03-16 16:32:24.000000
324,9,1,,3,3,no,2,yes,0.06296251085069438,-0.9908745383396368,-0.27870279947916676,,2017-03-16 16:31:20.000000,2017-03-16 16:32:35.000000
325,10,1,,7,4,no,3,no,-0.44814860026041664,-0.9425123313266166,-0.05648057725694453,,2017-03-16 15:31:45.000000,2017-03-16 16:32:42.000000
326,7,1,,33,2,yes,2,yes,-0.05111083984375005,-0.9978963028824751,0.14500054253472222,,2017-03-16 16:31:58.000000,2017-03-16 16:32:48.000000
327,9,1,,69,1,yes,1,no,-0.9592597113715279,0.8608837229124451,0.5212965223524306,,2017-03-16 16:32:04.000000,2017-03-16 16:32:54.000000
328,8,1,,66,2,no,2,yes,0,-0.9917546662452431,0.26944444444444443,,2017-03-16 16:33:31.000000,2017-03-16 16:32:57.000000
329,10,1,,64,4,yes,4,yes,-0.3592597113715278,-0.9780005324024306,0.05463053385416669,,2017-03-16 15:32:14.000000,2017-03-16 16:33:09.000000
330,7,1,,57,4,no,3,yes,0.6155558268229168,-0.6834667055902519,0.16722276475694445,,2017-03-16 16:32:17.000000,2017-03-16 16:33:10.000000
331,9,1,,79,5,no,4,yes,1,0.9953688782252366,0.5435194227430555,,2017-03-16 16:32:23.000000,2017-03-16 16:33:30.000000
332,7,1,,73,2,yes,1,yes,0.015555826822916565,-0.9983521537200375,0.12277832031249997,,2017-03-16 16:32:39.000000,2017-03-16 16:33:36.000000
333,10,1,,55,4,no,2,yes,-0.3592597113715278,-0.9780005324024306,0.03240831163194444,,2017-03-16 15:32:39.000000,2017-03-16 16:33:37.000000
334,8,1,,78,4,yes,3,yes,0.8666666666666667,0.5488794051240125,0.4694444444444445,,2017-03-16 16:34:08.000000,2017-03-16 16:33:40.000000
335,9,1,,19,4,yes,3,yes,0.9074069552951389,0.7110705394504215,0.16574096679687503,,2017-03-16 16:32:59.000000,2017-03-16 16:33:53.000000
336,8,1,,77,4,yes,3,yes,0.9333333333333333,0.7934895619680109,0.38055555555555554,,2017-03-16 16:34:52.000000,2017-03-16 16:33:53.000000
337,7,1,,36,2,yes,1,yes,-0.9844441731770833,0.9136066655788582,0.05611165364583335,,2017-03-16 16:33:06.000000,2017-03-16 16:34:00.000000
338,10,1,,78,4,no,2,yes,0.21851806640624996,-0.9883615956367554,-0.30092502170138885,,2017-03-16 15:33:08.000000,2017-03-16 16:34:00.000000
