,loc_id,num_user,mean,median,var,vote1,vote2,vote3,vote4,vote5
114,338,5,2.6,3,0.24,0,2,3,0,0
115,341,5,3.4,3,1.04,0,1,2,1,1
116,342,5,2.4,2,0.64,0,4,0,1,0
117,343,5,3.2,4,0.96,0,2,0,3,0
118,344,5,3.6,4,0.24,0,0,2,3,0
119,345,5,3.8,4,0.96,0,1,0,3,1
120,346,5,2.0,2,0.4,1,3,1,0,0
121,492,5,3.0,3,0.8,0,2,1,2,0
122,496,5,3.0,3,0.8,0,2,1,2,0
123,497,5,3.2,3,0.5599999999999999,0,1,2,2,0
124,499,5,2.2,2,0.96,1,3,0,1,0
125,500,5,3.0,3,0.8,0,2,1,2,0
126,503,5,3.4,3,1.04,0,1,2,1,1
127,507,5,4.6,5,0.24000000000000005,0,0,0,2,3
128,508,5,2.4,2,0.6400000000000002,0,4,0,1,0
129,511,5,3.4,4,0.64,0,1,1,3,0
130,512,5,3.2,3,0.5599999999999999,0,1,2,2,0
131,514,5,3.8,4,0.5599999999999999,0,0,2,2,1
132,515,5,2.0,2,0.4,1,3,1,0,0
133,516,5,4.0,4,0.4,0,0,1,3,1
134,517,5,3.0,3,0.8,0,2,1,2,0
135,520,5,4.0,4,0.4,0,0,1,3,1
136,523,5,2.2,2,0.5599999999999999,1,2,2,0,0
137,527,5,1.8,2,0.56,2,2,1,0,0
138,529,5,4.6,5,0.24,0,0,0,2,3
139,530,5,2.6,2,0.64,0,3,1,1,0
140,533,5,3.0,3,0.8,0,2,1,2,0
